npy_path	wav_path	text
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00000.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00000.wav	수요일 안내문을 확인하겠습니다
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00001.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00001.wav	치즈도 없어졌어요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00002.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00002.wav	홍길동 선수 선발 맞아요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00003.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00003.wav	어떻게 특별한 방법이 있어
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00004.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00004.wav	몰라 말을 안 하는데 어떻게 알아
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00005.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00005.wav	속상해 죽겠어
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00006.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00006.wav	이정재 씨에게 가장 잘 어울리는 여배우가 누구였습니까
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00007.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00007.wav	그렇지 웃으니까 내가 기분이 다 좋다 너는 어때
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00008.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00008.wav	오늘의 주인공은 바로
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00009.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00009.wav	네 감사합니다
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00010.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00010.wav	마지막 질문은 영상으로 준비했거든요 만나보시죠
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00011.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00011.wav	엄마를 도와드려요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00012.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00012.wav	그때도 재수가 영 없어가지고
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00013.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00013.wav	됐다 표 나왔어
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00014.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00014.wav	네 카드 전체 취소 도와드릴게요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00015.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00015.wav	당시 서울
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00016.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00016.wav	자꾸 어깨 받침이 빠져
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00017.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00017.wav	심 봉사는 딸을 보내고 마음이 편하지 않았습니다
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00018.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00018.wav	어떤 점이
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00019.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00019.wav	새끼 고양이도 본 거 같은데
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00020.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00020.wav	시내 방면으로요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00021.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00021.wav	그래서 매우 흥미롭습니다
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00022.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00022.wav	네 맞습니다
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00023.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00023.wav	왜 그걸 왜 버려
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00024.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00024.wav	그럼요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00025.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00025.wav	나는 외동아들이야
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00026.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00026.wav	로또 자동 번호 생성해줘
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00027.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00027.wav	그런 문제가 있다고 생각합니다
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00028.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00028.wav	기차 요금 확인해줘
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00029.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00029.wav	이것과 이것이 뭐 어떻게요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00030.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00030.wav	언니가 집어서 데려다줘
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00031.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00031.wav	다른 사람들 말하는데 우리는 껍질 벗겨놓고 먹잖아요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00032.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00032.wav	네 천천히 확인하세요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00033.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00033.wav	경기 내용을 보면 우리 팀이 상대 팀보다 좋거든요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00034.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00034.wav	동생이랑 싸워서 화가 났어
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00035.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00035.wav	지금 전원 연결된 플러그 무슨 방에 있는 거야
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00036.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00036.wav	생일 축하 노래 부르자
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00037.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00037.wav	아 여보세요
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00038.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00038.wav	점심에 국 어떤 거 먹는지 궁금해
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/work/calib_npy/input_00039.npy	/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00039.wav	알겠습니다 압축 파일 받아서 필요한 것만 남기고 삭제해야겠네요
